ensemble;rep;type;channel;tmin;tmax;tp;Nmax;
B1MF1MA1;FUN;source_N120_sink_N120 TRIPLET;g5;17;26;1;1;
B1MF1MA1;FUN;source_N120_sink_N120 TRIPLET;g1;20;26;1;1;
