ensemble;rep;channel;tmin;tmax;tp;Nmax;
B1MF1MA1;FUN;g5;10;24;1;5;
B1MF1MA2;FUN;g5;10;24;1;5;
B1MF1MA3;FUN;g5;10;28;1;5;
B1MF1MA4;FUN;g5;10;28;1;5;
B1MF2MA1;FUN;g5;10;28;1;5;
B1MF3MA1;FUN;g5;10;28;1;5;
B1MF1MA1;AS;g5;10;24;1;5;
B1MF1MA2;AS;g5;10;24;1;5;
B1MF1MA3;AS;g5;10;28;1;5;
B1MF1MA4;AS;g5;10;28;1;5;
B1MF2MA1;AS;g5;10;28;1;5;
B1MF3MA1;AS;g5;10;28;1;5;
