outputdir;file;typeCONN;rep;name
Lt48Ls24beta6.45mf0.7mas1.04FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B1MF1MA1
Lt48Ls24beta6.45mf0.7mas1.04AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B1MF1MA1
Lt48Ls28beta6.45mf0.7mas1.045FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B1MF1MA2
Lt48Ls28beta6.45mf0.7mas1.045AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B1MF1MA2
Lt56Ls32beta6.45mf0.7mas1.05FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B1MF1MA3
Lt56Ls32beta6.45mf0.7mas1.05AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B1MF1MA3
Lt56Ls36beta6.45mf0.7mas1.055FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B1MF1MA4
Lt56Ls36beta6.45mf0.7mas1.055AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B1MF1MA4
Lt56Ls32beta6.45mf0.71mas1.04FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B1MF2MA1
Lt56Ls32beta6.45mf0.71mas1.04AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B1MF2MA1
Lt56Ls36beta6.45mf0.718mas1.04FUN;out_spectrum;DEFAULT_SEMWALL TRIPLET;FUN;B1MF3MA1
Lt56Ls36beta6.45mf0.718mas1.04AS;out_spectrum;DEFAULT_SEMWALL TRIPLET;AS;B1MF3MA1
