ensemble;rep;type;channel;tmin;tmax;tp;Nmax;
AS1;AS;source_N60_sink_N60 TRIPLET;g5;17;26;1;1;
AS1;AS;source_N60_sink_N0 TRIPLET;g5;17;26;1;1;
